Taylor Swift;Country|Pop;Blank Space
Taylor Swift;Country|Pop;Style
Taylor Swift;Country|Pop;Shake It Off
Taylor Swift;Country|Pop;Everything Has Changed
Taylor Swift;Country|Pop;I Knew You Were Trouble
Taylor Swift;Country|Pop;Welcome To New York
Taylor Swift;Country|Pop;Love Story
Taylor Swift;Country|Pop;I Wish You Would
Taylor Swift;Country|Pop;Safe & Sound (feat. The Civil Wars)
Taylor Swift;Country|Pop;All You Had To Do Was Stay
Passenger;Rock|Pop|Indie;Let Her Go
Passenger;Rock|Pop|Indie;Fear Of Fear
Passenger;Rock|Pop|Indie;Words
Passenger;Rock|Pop|Indie;Catch In The Dark
Passenger;Rock|Pop|Indie;I'll Be Your Man
Passenger;Rock|Pop|Indie;Traveling Alone
Passenger;Rock|Pop|Indie;The Way That I Need You
Passenger;Rock|Pop|Indie;A Thousand Matches
Passenger;Rock|Pop|Indie;David
Passenger;Rock|Pop|Indie;Strangers
Eminem;Rap|Hip-Hop;Best Friend (feat. Eminem)
Eminem;Rap|Hip-Hop;Love The Way You Lie|Pt. 2
Eminem;Rap|Hip-Hop;Stan (feat. Dido)
Eminem;Rap|Hip-Hop;The Monster (feat. Rihanna)
Eminem;Rap|Hip-Hop;Smack That (feat. Eminem)
Eminem;Rap|Hip-Hop;Love The Way You Lie (feat. Rihanna)
Eminem;Rap|Hip-Hop;Lose Yourself
Eminem;Rap|Hip-Hop;'Till I Collapse (feat. Nate Dogg)
Eminem;Rap|Hip-Hop;Mockingbird
Eminem;Rap|Hip-Hop;Twisted
Mumford & Sons;Rock|Ethnic/Folk|Indie;Believe
Mumford & Sons;Rock|Ethnic/Folk|Indie;Snake Eyes
Mumford & Sons;Rock|Ethnic/Folk|Indie;Monster
Mumford & Sons;Rock|Ethnic/Folk|Indie;Wilder Mind
Mumford & Sons;Rock|Ethnic/Folk|Indie;Tompkins Square Park
Mumford & Sons;Rock|Ethnic/Folk|Indie;The Wolf
Mumford & Sons;Rock|Ethnic/Folk|Indie;Just Smoke
Mumford & Sons;Rock|Ethnic/Folk|Indie;Ditmas
Mumford & Sons;Rock|Ethnic/Folk|Indie;Cold Arms
Mumford & Sons;Rock|Ethnic/Folk|Indie;Only Love
Mark Knopfler;Blues|Rock;Laughs and Jokes and Drinks and Smokes
Mark Knopfler;Blues|Rock;Basil
Mark Knopfler;Blues|Rock;River Towns
Mark Knopfler;Blues|Rock;Long Cool Girl
Mark Knopfler;Blues|Rock;Broken Bones
Mark Knopfler;Blues|Rock;Wherever I Go
Mark Knopfler;Blues|Rock;Silver Eagle
Mark Knopfler;Blues|Rock;Skydiver
Mark Knopfler;Blues|Rock;Lights of Taormina
Mark Knopfler;Blues|Rock;Mighty Man
David Guetta;Pop|Dance|House;Dangerous (feat. Sam Martin)
David Guetta;Pop|Dance|House;Hey Mama (feat. Afrojack and Nicki Minaj)
David Guetta;Pop|Dance|House;What I Did For Love (feat. Emeli Sande)
David Guetta;Pop|Dance|House;Titanium (feat. Sia)
David Guetta;Pop|Dance|House;Bad (with Showtek and Vassy)
David Guetta;Pop|Dance|House;Sun Goes Down (feat. MAGIC! and Showtek)
David Guetta;Pop|Dance|House;Rise (feat. Skylar Grey)
David Guetta;Pop|Dance|House;Play Hard (feat. Akon and Ne-Yo)
David Guetta;Pop|Dance|House;Listen (feat. John Legend)
David Guetta;Pop|Dance|House;She Wolf (Falling To Pieces) (feat. Sia)
